食物名稱,類型,水分,蛋白質,脂肪,碳水,熱量
雞胸,生食,77g/100g,22.4g/100g,1.2g/100g,0g/100g,104cal/100g
雞蛋,生食,75.9g/100g,12.7g/100g,12g/100g,1.6g/100g,135cal/100g
黃肉地瓜,生食,70g/100g,1.3g/100g,0.3g/100g,27.8g/100g,115cal/100g
紅肉鮭魚切片,生食,69.6g/100g,24.3g/100g,6g/100g,0g/100g,158g/100g
台灣鯛魚片(生),生食,74.8g/100g,18.2g/100g,3.6g/100g,2.5g/100g,110g/100g
白對蝦平均值,生食,76.1g/100g,21.3g/100g,0.9g/100g,0g/100g,99g/100g
白對蝦(大),生食,74.8,22.4,1.5,0,109
白對蝦(小),生食,77.4,21.4,0.5,0,96
紅蝦仁,生食,86.4,9.5,0.3,1.5,43
草蝦仁,生食,88,9.7,0.3,0.9,88
山藥,生食,78.3,2.8,0.1,17.8,83
紅肉地瓜,生食,71.7,1.8,0.2,25.4,109
紫肉地瓜,生食,69.4,1.1,0.1,28.5,116
芋頭,生食,68.9,2.5,1.1,26.4,123
馬鈴薯,生食,80.5,2.6,0.2,15.8,74
雞腿,生食,68.3,14.4,14.9,2.4,196
雞里肌肉,生食,76,23.7,0.6,0,106
雞絞肉,生食,71.3,27.4,1.6,0,131
雞心,生食,71,13.3,14.8,0.9,190
雞肝,生食,73.9,18.8,3.5,2.7,111
